image_path,term,perceived_gender,perceived_age,perceived_skin_tone,perceived_disability
ann67_1778793408_52e65e2e.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
ann102_1778793365_d0843b5a.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778494475_20351cbc.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task6_1778494974_77483d3e.jpg,A person pushing a person in a wheelchair,2,Child (0-12),6,
task9_1778495124_b6482548.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),6,
task9_1778495146_d26dded0.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),6,
task9_1778495166_92cfa6fc.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),1,
task9_1778495192_e4993a96.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),5,
man9_1778795342_3c195b04.jpg,A person pushing a person in a wheelchair,0,Older adult (60+),5,
task9_1778495280_3463b369.jpg,A person pushing a person in a wheelchair,2,Older adult (60+),6,
task9_1778495419_7c1093b5.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),1,
task9_1778495433_cebb3c17.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),3,
task9_1778495451_6e3da6f6.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),3,
task9_1778495469_87da5d70.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),2,
task9_1778495519_ec934827.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),2,
task9_1778495539_6a70890c.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),5,
task9_1778495570_16dc4235.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),6,
task9_1778495598_d0acdb7d.jpg,A person pushing a person in a wheelchair,0,Young adult (18-30),6,
task9_1778495631_31a61359.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),5,
task9_1778495659_20df1410.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task9_1778495685_b6d9bfc0.jpg,A person pushing a person in a wheelchair,0,Child (0-12),5,
task6_1778590878_546f0c95.jpg,A person pushing a person in a wheelchair,0,,4,
task6_1778590992_41983598.jpg,A person pushing a person in a wheelchair,0,,5,
task6_1778591077_9d72437d.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),5,
task6_1778591243_ae2f4fce.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),3,
task6_1778591328_27c578d7.jpg,A person pushing a person in a wheelchair,0,Middle-aged (31-60),1,
task6_1778591633_1b4597c3.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task9_1778659498_73abcb5a.jpg,A person pushing a person in a wheelchair,2,,6,
task9_1778659522_d6a4076e.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
task9_1778659542_c5f3d12a.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),3,
task9_1778659559_781ec47a.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),4,
task9_1778659595_c0b73ff3.jpg,A person pushing a person in a wheelchair,2,Middle-aged (31-60),5,
task9_1778659616_47a13ad7.jpg,A person pushing a person in a wheelchair,0,Young adult (18-30),6,
task9_1778659635_1bae2bd1.jpg,A person pushing a person in a wheelchair,0,Young adult (18-30),1,
task9_1778659660_5ae479d6.png,A person pushing a person in a wheelchair,0,Young adult (18-30),4,
task9_1778659680_b79ca330.jpg,A person pushing a person in a wheelchair,0,Older adult (60+),6,
task9_1778659695_d9efe436.jpg,A person pushing a person in a wheelchair,0,Older adult (60+),6,
task9_1778659716_76681279.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),3,
task9_1778659901_8802dcfe.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),5,
task9_1778659917_93fab597.jpg,A person pushing a person in a wheelchair,2,Adolescent (13-17),5,
task9_1778659935_1f9f047f.jpg,A person pushing a person in a wheelchair,0,Older adult (60+),4,
task9_1778659952_ee67eb20.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),3,
task9_1778659964_10680130.jpg,A person pushing a person in a wheelchair,2,Young adult (18-30),6,
